Date,Open,High,Low,Close,Volume
1/3/2000,15.3125,15.375,14.6875,14.6875,113500
1/4/2000,14.6875,14.9375,14.625,14.75,113200
1/5/2000,14.8125,15.5625,14.75,15.5625,204600
1/6/2000,15.5625,16.25,15.4375,15.9375,239500
1/7/2000,15.8125,15.9375,15.3125,15.5,374300
1/10/2000,15.625,16,15.625,15.6875,324900
1/11/2000,15.6875,16.125,15.625,16,417500
1/12/2000,17.5,19.0625,17.5,18.375,1076700
1/13/2000,19.75,22.5,19.625,21.125,1672700
1/14/2000,21.875,24.875,21.4375,24.25,1098300
1/18/2000,24,25.375,23,23.75,792900
1/19/2000,23.375,24.875,23.375,24.625,446500
1/20/2000,27.5,34.875,27.5,32.125,2853100
1/21/2000,35.375,47.1875,35.375,47,4364700
1/24/2000,62,68,51.75,62,6707600
1/25/2000,54.25,56.5,43.75,47,3232300
1/26/2000,42.5,43.75,32,34,3848700
1/27/2000,34.9375,35.9375,32.25,33.875,1508400
1/28/2000,33.0625,33.3125,28.6875,31.5,1145700
1/31/2000,31.6875,31.75,26.5,29.375,2929300
2/1/2000,28.9375,31.5,27.0625,30.875,2680200
2/2/2000,30.25,30.25,26.5,26.875,1234200
2/3/2000,26.875,29.125,25.5625,28.75,2197200
2/4/2000,28.625,32.875,28,30.125,1909800
2/7/2000,30.5,31.1875,27.75,28.5,726300
2/8/2000,29.375,30.375,28.75,29.9375,1006000
2/9/2000,29.9375,30.375,28.0625,28.125,576400
2/10/2000,29,29.5,27.4375,29.25,676000
2/11/2000,29.25,30.5,28.625,28.9375,755100
2/14/2000,28.875,30.4375,28,29.8125,830800
2/15/2000,29.375,34.375,29,34.125,1812100
2/16/2000,34.125,35.5,31.25,33.375,1098600
2/17/2000,34.125,36,31.75,35,899000
2/18/2000,34.75,34.9375,32.875,33.4375,535900
2/22/2000,33.4375,33.4375,30.6875,31,571300
2/23/2000,30.25,31.9375,30.25,31.25,381500
2/24/2000,31,31.4375,29.125,29.125,397800
2/25/2000,29.125,29.5,27.9375,28.5,725500
2/28/2000,28.875,29.8125,27.625,29.5,762600
2/29/2000,30.0625,31.125,29.25,30.0625,625100
3/1/2000,29.5625,29.6875,28.75,29.5,248200
3/2/2000,29.625,30.125,28.375,28.5625,230800
3/3/2000,28.375,29.8125,28.0625,28.625,338400
3/6/2000,28.875,29.5,28.375,29.1875,446000
3/7/2000,29.1875,29.875,28.5,29.5,520200
3/8/2000,29.9375,30.375,28.75,29.25,449300
3/9/2000,29.25,29.25,28.375,28.9375,282900
3/10/2000,28.9375,32.5,28.125,31.9375,976000
3/13/2000,30.875,30.875,29.375,30,392000
3/14/2000,31.875,32.5,29.4375,29.9375,678500
3/15/2000,30.1875,30.75,29,30,526500
3/16/2000,30,31.375,29.875,30.5,446400
3/17/2000,30.875,31.75,30,31,291900
3/20/2000,31.625,37,31.625,35.75,2081300
3/21/2000,36.25,37.5,33.25,34.8125,1257100
3/22/2000,35.0625,35.875,34.5,35.1875,443100
3/23/2000,35.75,38.6875,35.0625,38.125,809500
3/24/2000,38,41.6875,38,38.75,875700
3/27/2000,38.5,39.5,35.5,36.1875,548100
3/28/2000,36.1875,37.25,34.5,36,582300
3/29/2000,36.25,41.9375,36.25,41.6875,1063000
3/30/2000,42,44.5,38,39.4375,1944000
3/31/2000,39.875,41.4375,38.75,40.75,485400
4/3/2000,40.625,40.75,38.5,39.1875,434700
4/4/2000,38.6875,39.3125,31.3125,37,1116000
4/5/2000,36.8125,39.125,35.4375,39.125,429000
4/6/2000,39.25,39.4375,37.25,37.6875,223600
