Date,Open,High,Low,Close,Volume
1/3/2000,25.125,25.125,24,24.21875,13705800
1/4/2000,23.875,23.96875,22.46875,22.78125,27293400
1/5/2000,22.53125,23.21875,22.25,23.03125,22855600
1/6/2000,23.46875,25,23.375,25,17307000
1/7/2000,24.8125,24.8125,24,24.34375,11632800
1/10/2000,24.46875,24.46875,23.34375,23.5,11152800
1/11/2000,22.78125,23.46875,22.78125,23,11064400
1/12/2000,23,23.53125,23,23.25,11067600
1/13/2000,23.5,23.9375,23.4375,23.78125,12322000
1/14/2000,24.96875,25.28125,24.40625,25.25,20438600
1/18/2000,25,25,23.90625,24,17116000
1/19/2000,23.9375,24.59375,23.34375,24,15468400
1/20/2000,23.75,24,23,23.539063,12249000
1/21/2000,23.25,23.34375,22.78125,22.84375,12839400
1/24/2000,22.875,23.125,22.25,22.28125,12614800
1/25/2000,22.46875,22.84375,22.34375,22.5625,15631000
1/26/2000,22.875,23.65625,22.6875,23.5625,15441200
1/27/2000,23.78125,24.1875,23.53125,24.0625,12769400
1/28/2000,23.9375,23.9375,22.875,22.875,13517000
1/31/2000,23.25,24.21875,23.15625,24.21875,16910000
2/1/2000,24.0625,24.5,24,24.5,8965200
2/2/2000,23.75,24.25,23.6875,23.875,11717400
2/3/2000,23.84375,24.03125,22.71875,23.21875,22798000
2/4/2000,23.46875,23.5625,22.65625,22.9375,13400000
2/7/2000,22.65625,22.75,22.4375,22.65625,10364400
2/8/2000,22.90625,23.625,22.84375,23.5625,10821800
2/9/2000,23.5625,23.625,23.03125,23.03125,9294200
2/10/2000,23.03125,23.25,22.34375,22.4375,11579400
2/11/2000,22.5,23.3125,22.5,22.59375,13510400
2/14/2000,22.84375,22.96875,22.03125,22.125,13426800
2/15/2000,22.03125,23,22.03125,22.8125,13834000
2/16/2000,23.125,23.25,22.5625,22.59375,11939600
2/17/2000,22.71875,23.15625,22.15625,22.3125,12256800
2/18/2000,22.28125,22.34375,21.6875,21.875,14998000
2/22/2000,21.59375,22.9375,21.5,22.375,13162800
