Date,Open,High,Low,Close,Volume
10/4/2012,733,750,734,748,2414
10/7/2012,748,792,762,790,2179
10/8/2012,790,795,770,770,5090
10/9/2012,770,769,750,750,3411
10/10/2012,750,755,754,754,400
10/11/2012,754,750,741,750,1717
10/14/2012,750,755,750,752,450
10/15/2012,752,755,755,755,879
10/17/2012,755,779,770,779,170
10/18/2012,779,770,770,770,300
10/30/2012,770,780,770,780,510
10/31/2012,780,800,780,794,4950
11/1/2012,794,795,789,795,1460
11/4/2012,795,792,786,788,3200
11/5/2012,788,793,777,790,3757
11/6/2012,790,800,785,788,2325
11/7/2012,788,810,790,799,5812
11/8/2012,799,816,795,800,3628
11/11/2012,800,808,791,795,1887
11/12/2012,795,800,789,796,2528
11/18/2012,796,805,785,805,5288
11/20/2012,805,835,800,835,11011
11/21/2012,835,832,805,820,8884
11/22/2012,820,825,813,819,6384
11/25/2012,819,846,819,819,5231
11/26/2012,819,807,807,807,1674
11/27/2012,807,815,790,790,3893
11/28/2012,790,791,781,787,2892
11/29/2012,787,781,780,781,1235
12/2/2012,781,777,733,733,1149
12/3/2012,733,719,692,700,1167
12/4/2012,700,742,714,728,1633
12/5/2012,728,750,740,740,2413
12/9/2012,740,735,730,735,213
12/11/2012,735,725,721,725,730
12/13/2012,725,785,739,785,1570
12/16/2012,785,814,794,800,4069
12/17/2012,800,820,794,794,4330
12/18/2012,794,806,800,800,342
12/19/2012,800,802,787,787,1261
12/20/2012,787,802,783,800,5471
12/26/2012,800,812,800,800,4087
12/27/2012,800,805,805,805,100
12/31/2012,805,805,800,805,700
1/1/2013,805,805,805,805,100
1/7/2013,805,805,805,805,347
1/9/2013,805,810,810,810,100
1/10/2013,810,810,800,805,778
1/13/2013,805,808,804,805,872
1/15/2013,805,800,800,800,100
1/17/2013,800,800,800,800,806
1/20/2013,800,784,784,784,536
1/23/2013,784,790,790,790,55
1/24/2013,790,785,780,780,400
2/5/2013,780,770,770,770,121
2/7/2013,770,763,750,763,12150
2/10/2013,763,750,750,750,200
2/12/2013,750,765,760,760,142
2/13/2013,760,770,765,770,400
2/17/2013,770,790,785,790,210
2/19/2013,790,807,805,805,760
2/20/2013,805,803,803,803,400
2/21/2013,803,799,798,798,700
2/24/2013,798,783,780,780,300
2/25/2013,780,775,775,775,54
2/26/2013,775,805,790,805,537
3/3/2013,805,821,803,803,223
3/5/2013,803,790,790,790,220
3/6/2013,790,789,789,789,180
3/7/2013,789,775,775,775,105
3/11/2013,775,775,760,760,3451
3/14/2013,760,775,760,775,754
3/17/2013,775,772,760,765,5968
3/18/2013,765,755,745,755,310
3/19/2013,755,760,735,760,9566
3/20/2013,760,760,748,760,3724
3/21/2013,760,770,762,762,543
3/24/2013,762,755,755,755,74
3/25/2013,755,775,760,775,335
3/27/2013,775,765,760,765,150
3/28/2013,765,760,760,760,500
4/1/2013,760,760,760,760,40
4/2/2013,760,772,755,755,250
4/3/2013,755,755,740,755,818
4/4/2013,755,760,740,740,11097
4/7/2013,740,750,750,750,2657
4/8/2013,750,764,750,760,564
4/9/2013,760,770,750,770,955
4/11/2013,770,775,775,775,50
4/15/2013,775,769,769,769,200
4/16/2013,769,773,757,757,1355
4/17/2013,757,770,770,770,50
4/22/2013,770,755,755,755,10
4/23/2013,755,750,750,750,224
4/25/2013,750,750,749,750,2156
4/28/2013,750,750,750,750,2786
4/29/2013,750,765,758,765,210
4/30/2013,765,765,750,754,2099
5/2/2013,754,750,739,750,1897
5/7/2013,750,745,740,740,500
5/8/2013,740,740,740,740,100
5/12/2013,740,740,740,740,1080
5/13/2013,740,750,745,750,3536
5/14/2013,750,765,751,751,1342
5/15/2013,751,760,751,760,1630
