Date,Open,High,Low,Close,Volume
1/3/2000,16.5625,16.75,16.03125,16.1875,717600
1/4/2000,16.34375,16.34375,15.6875,15.84375,1480200
1/5/2000,15.9375,16.125,15.75,16.125,854000
1/6/2000,15.9375,17.25,15.875,16.9375,521000
1/7/2000,17,17.625,16.875,17.03125,545200
1/10/2000,17.0625,17.125,16.46875,16.8125,381800
1/11/2000,16.8125,17.09375,16.6875,17.0625,540400
1/12/2000,17,17,16.75,16.8125,370800
1/13/2000,16.90625,17.28125,16.875,17.1875,807400
1/14/2000,17.1875,17.375,16.75,17.28125,714400
1/18/2000,17.28125,18.6875,17.28125,18.6875,964600
1/19/2000,18.6875,19.25,18.6875,19.1875,1093800
1/20/2000,19.0625,19.875,19.0625,19.46875,1191400
1/21/2000,19.75,20.875,19.75,20.65625,1187200
1/24/2000,20.75,21.03125,19.625,20.125,2022000
1/25/2000,20,20.03125,19.5625,19.625,595600
1/26/2000,19.65625,20.15625,19.125,19.125,668200
1/27/2000,19.1875,19.75,18.46875,18.78125,737400
1/28/2000,18.75,19.0625,18.5,18.78125,587200
1/31/2000,18.75,18.75,17.5625,17.5625,954000
2/1/2000,17.5625,18.21875,17.5625,18.03125,934400
2/2/2000,18.15625,18.40625,17.8125,17.8125,556000
2/3/2000,18.125,18.15625,17.8125,17.96875,409800
2/4/2000,17.96875,18.375,17.8125,18,466400
2/7/2000,17.875,18.5,17.875,18,535600
2/8/2000,18,18.0625,17.5625,18,266600
2/9/2000,18,18.3125,17.625,17.65625,1006800
2/10/2000,17.75,18.96875,17.75,18.5625,621400
2/11/2000,18.75,18.75,18,18,376800
2/14/2000,18.1875,18.8125,18,18.59375,560000
2/15/2000,18.59375,19.1875,18.5625,19.03125,953200
2/16/2000,18.84375,19.46875,18.8125,19.1875,385800
2/17/2000,19.5,19.5,19.125,19.3125,639800
2/18/2000,19.1875,19.4375,18.96875,19.0625,905000
2/22/2000,19.21875,19.21875,18.53125,19.15625,669200
2/23/2000,19.03125,19.0625,18,18.4375,377800
2/24/2000,18.3125,18.5625,17.875,18.21875,737000
2/25/2000,18.4375,18.4375,17.875,17.96875,896800
2/28/2000,17.625,18.4375,17.625,18.34375,455000
2/29/2000,18.3125,18.75,18.0625,18.625,801600
3/1/2000,18.75,19.5,18.625,19.4375,630600
3/2/2000,19.875,20.625,19.8125,20.5,1324600
3/3/2000,20.4375,20.46875,19.5625,19.96875,783600
3/6/2000,20.0625,20.375,19.625,20.3125,310800
3/7/2000,20.1875,22.625,20.125,22.625,1388200
3/8/2000,22.3125,22.5625,21.4375,22.125,1530000
3/9/2000,22,22.1875,21.375,22.15625,574400
3/10/2000,22.09375,22.40625,21.625,22.03125,966800
3/13/2000,21.375,22.15625,21.25,22.125,403000
3/14/2000,22,22.40625,21.78125,22.1875,785000
3/15/2000,22.0625,22.1875,21.28125,21.46875,630600
3/16/2000,21.25,22.125,21.1875,22.03125,549200
3/17/2000,21.5,21.9375,21.28125,21.6875,441800
3/20/2000,21.5,21.5,20.875,21.125,258200
3/21/2000,21,21.875,20.9375,21.59375,397200
3/22/2000,21.5,21.6875,21.34375,21.46875,543000
3/23/2000,21.53125,21.53125,21.03125,21.3125,336200
3/24/2000,21.25,21.71875,20.8125,21.25,368000
3/27/2000,21.15625,21.46875,20.75,20.90625,473200
3/28/2000,20.78125,22,20.75,21.25,623000
3/29/2000,21.375,22.5,21.375,22.3125,989400
3/30/2000,22.40625,23.75,22.40625,23.625,2524400
3/31/2000,23.875,24.28125,23.375,24.28125,1070200
4/3/2000,24.1875,24.90625,24.125,24.53125,824800
4/4/2000,24.5,24.5,22.875,23.75,1084400
4/5/2000,23.625,23.875,23.359375,23.625,590400
4/6/2000,23.5,24.125,23.0625,24.125,843400
4/7/2000,24.3125,24.34375,23.53125,23.6875,516600
4/10/2000,23.5625,23.5625,22.6875,22.8125,864200
4/11/2000,23.125,23.375,22.78125,22.84375,1254600
4/12/2000,22.84375,23.4375,22.8125,23.125,971600
4/13/2000,23.3125,24,23.25,23.875,628000
4/14/2000,23.6875,23.84375,23.125,23.4375,690000
4/17/2000,23.0625,23.125,21.9375,22.15625,903600
4/18/2000,22.09375,22.34375,21.875,22.21875,620800
4/19/2000,22.25,23.03125,22.1875,22.96875,1632600
4/20/2000,22.875,22.875,22.4375,22.75,976800
4/24/2000,22.71875,22.71875,22.34375,22.53125,483000
4/25/2000,22.65625,23.15625,22.625,23.125,756200
4/26/2000,23.125,23.5,23.03125,23.4375,611400
4/27/2000,23.4375,24.15625,23.125,23.90625,578600
4/28/2000,23.8125,24.125,23.25,24.0625,862000
5/1/2000,23.875,24.40625,23.75,23.9375,1408000
