Date,Open,High,Low,Close,Volume
3-Jan-00,300,308.85,293.05,308.85,1248793
4-Jan-00,323,323.5,294,303.75,709535
5-Jan-00,299,301,280,292,504413
6-Jan-00,295,303.4,292,294.1,398878
7-Jan-00,292,294.8,279.3,285,626494
10-Jan-00,300,300,285.1,287,241415
11-Jan-00,290,292.9,272.2,282.45,433887
12-Jan-00,283,291,282,283.25,153662
13-Jan-00,284.9,288.95,280,282,165758
14-Jan-00,280,292,275.1,288.1,361095
17-Jan-00,299.2,311,298,302.5,832372
18-Jan-00,303,318.75,303,309,704638
18-Jan-00,326.65,326.65,326.65,326.65,6500
19-Jan-00,311.2,312,302,302,428346
20-Jan-00,304,304.1,288.65,290,358058
21-Jan-00,294.5,306,288,296,868467
24-Jan-00,301.5,306.5,292,294.05,250550
25-Jan-00,290.25,309.25,290.25,307,668137
27-Jan-00,309,331.55,308.95,331.55,1446000
28-Jan-00,335,338,320.5,330,1305076
31-Jan-00,325.8,351.7,321.1,333,980360
1-Feb-00,333,354.4,333,348.05,769844
2-Feb-00,353.4,354.95,341.1,347,651248
3-Feb-00,352,352.4,337.5,345,254917
4-Feb-00,346,362,340,345,1002758
7-Feb-00,351,364,346,358,588583
8-Feb-00,351.1,358.8,346.5,351.8,241656
9-Feb-00,354.7,354.7,323.7,328,479733
10-Feb-00,327,332,313.1,323.95,282354
11-Feb-00,325,349.85,315,349.85,1055934
14-Feb-00,355.9,372,350,355.5,1366678
15-Feb-00,350,360,335,335.25,605428
16-Feb-00,340,348,336,339,218742
17-Feb-00,341.9,344.5,335,337.5,147486
18-Feb-00,335,340,320,323,528880
21-Feb-00,334,340,320,321.1,213831
22-Feb-00,321,324,309,313,198571
23-Feb-00,315,338,315,338,600222
24-Feb-00,348,354.85,330,353,506681
24-Feb-00,365,365,365,365,73000
25-Feb-00,354.95,381.2,349,381.2,533997
28-Feb-00,393,411.65,385.55,411.65,925503
29-Feb-00,425,444.55,378.75,392.1,2082282
1-Mar-00,399,423.45,398,423.45,637297
2-Mar-00,433,457.3,433,457.3,218738
3-Mar-00,470,488,420.75,455,703101
6-Mar-00,480,480,431,440,548682
7-Mar-00,439,440,404.85,407,445653
8-Mar-00,409,423.5,392.05,410,296765
9-Mar-00,413,413,385,392,93533
10-Mar-00,396,406,385,390.1,262317
13-Mar-00,390,408,363,377.1,176305
14-Mar-00,380,403.5,368.2,400.1,144928
15-Mar-00,404.95,404.95,381,396,98068
15-Mar-00,432.05,432.05,432.05,432.05,1000
16-Mar-00,390.5,401,390.5,396.1,190514
21-Mar-00,414.4,427.75,399.5,417.4,182381
