Date,Open,High,Low,Close,Volume
3-Jan-00,2270,2415,2270,2391.2,178477
4-Jan-00,2400,2410,2250,2265,106218
5-Jan-00,2252,2252,2155,2190,159216
6-Jan-00,2224,2340,2206,2304.5,141904
7-Jan-00,2300,2440,2246,2376.7,262672
10-Jan-00,2398,2518,2398,2448.95,107801
11-Jan-00,2459.5,2506.3,2370,2450,112700
12-Jan-00,2470,2645.95,2461,2645.95,132741
13-Jan-00,2711,2857.6,2672.5,2778,280976
14-Jan-00,2785,2850,2656,2694.5,128651
17-Jan-00,2734,2735,2555,2599.5,46944
18-Jan-00,2595.5,2619.5,2540,2565,69772
19-Jan-00,2565.05,2598,2511,2515.25,66271
20-Jan-00,2530,2545,2515,2530,27032
21-Jan-00,2532,2595,2525,2525,61726
24-Jan-00,2555,2660,2548.1,2576.5,67667
25-Jan-00,2580,2585,2549,2550,46560
27-Jan-00,2585,2655,2536,2560,74240
28-Jan-00,2564,2564,2481,2485.1,81294
31-Jan-00,2481,2510,2416,2438.5,65811
31-Jan-00,2445,2445,2445,2445,10700
1-Feb-00,2430,2430,2298,2305.15,109461
2-Feb-00,2334.9,2470,2334.9,2428,109907
3-Feb-00,2429.95,2464,2400,2425,61365
3-Feb-00,2440,2440,2440,2440,1000
4-Feb-00,2425,2435,2335,2336,39293
7-Feb-00,2375,2410,2310,2315,51653
8-Feb-00,2320,2340,2308,2320,60913
9-Feb-00,2347,2435,2345,2410,154659
10-Feb-00,2435,2448,2300,2318.75,121592
11-Feb-00,2345,2423.85,2300,2345,228825
14-Feb-00,2396,2410,2300,2314,82652
15-Feb-00,2320,2380,2320,2335,67278
16-Feb-00,2365,2409,2300,2314,95145
17-Feb-00,2320,2347.95,2311.5,2324,91307
18-Feb-00,2330,2508,2313,2490,192623
21-Feb-00,2689.15,2689.15,2613,2689.15,110228
22-Feb-00,2904.25,2904.25,2904.25,2904.25,9376
23-Feb-00,3136.55,3136.55,2780,2870,301826
24-Feb-00,2900,3099.55,2900,3099.55,229605
25-Feb-00,3179.5,3249,3075,3099,205537
28-Feb-00,3150,3199,3020,3070.4,123576
29-Feb-00,3099.9,3125,2824.8,2900,210432
1-Mar-00,2840,3075,2675.3,3000,209651
2-Mar-00,3005,3049,2760.05,2760.05,106616
3-Mar-00,2700,2710,2569,2612,120091
3-Mar-00,2650,2650,2650,2650,3670
6-Mar-00,2530,2530,2530,2530,11100
6-Mar-00,2699,2751.1,2408,2474.5,115527
7-Mar-00,2495.1,2599.95,2401,2473.8,139729
8-Mar-00,2510,2594,2444,2498.5,80963
9-Mar-00,2519,2525,2301,2362.65,119904
