Date,Open,High,Low,Close,Volume
3-Jan-00,75,75.55,72,75.55,474880
4-Jan-00,79.45,80.4,72.3,73.65,280845
5-Jan-00,72.5,74,67.8,69.3,436749
6-Jan-00,70,74.3,69,69.15,255355
7-Jan-00,66.15,70,65,66,393447
10-Jan-00,69.95,71,68,69.95,253274
11-Jan-00,71,71,67,69.4,139639
12-Jan-00,69.9,74.9,69.9,74.9,228199
13-Jan-00,80.85,80.85,77,79.05,362558
14-Jan-00,79.5,80,74.25,80,763217
17-Jan-00,85,86.35,84.5,86.35,604882
18-Jan-00,88.4,88.4,82.65,84.5,384107
19-Jan-00,86.1,91.25,86,91.25,274997
20-Jan-00,98.4,98.5,94.05,96.15,588854
21-Jan-00,95.5,101,91,101,472730
24-Jan-00,103.9,109.05,103.8,109.05,381420
25-Jan-00,117,117.75,111,117.75,502397
27-Jan-00,124.8,127.15,123,127.15,755179
28-Jan-00,129.5,137.3,128,137.3,607697
31-Jan-00,144,148.25,138,148.25,359625
1-Feb-00,156,160.1,155,160.1,705964
2-Feb-00,168,172.85,165,172.85,323164
3-Feb-00,180.1,186,159.05,159.05,819144
4-Feb-00,155,155,146.35,146.35,517933
7-Feb-00,134.65,158,134.65,157,777189
7-Feb-00,158,158,158,158,591930
8-Feb-00,158,164,147.8,154,675873
9-Feb-00,154,158.7,146,157.85,474256
10-Feb-00,159,170.45,159,170.45,1084395
11-Feb-00,174,174,157,157,512866
14-Feb-00,164,169.55,162.5,169.55,643806
15-Feb-00,174,174,164,169.95,267747
16-Feb-00,168,183,167.1,178.4,506568
17-Feb-00,181.9,188,176.15,179.1,515792
18-Feb-00,182,183.5,172,175.05,265295
21-Feb-00,176.9,177,169,171.9,227712
22-Feb-00,171,171,161.95,165,225836
23-Feb-00,166.75,166.75,155.05,155.5,113403
24-Feb-00,157.5,159.8,143.1,146,184745
25-Feb-00,150.9,157.65,146,157.65,300486
28-Feb-00,165.9,170.25,158,170.25,161722
29-Feb-00,176.8,183.85,165.05,168,490087
1-Mar-00,172.2,181.4,171.25,181.4,130462
2-Mar-00,195.9,195.9,195.9,195.9,68179
3-Mar-00,211.55,211.55,211.55,211.55,68490
6-Mar-00,228.45,228.45,220,228.45,176663
7-Mar-00,228.45,246.7,210.2,236.7,838087
8-Mar-00,239.4,239.4,217.8,218,195846
9-Mar-00,214,224,200.6,200.6,103478
10-Mar-00,200.6,216,186,213.6,302669
13-Mar-00,216,222.5,196.55,200.65,368503
14-Mar-00,201,207,191.05,203,162015
15-Mar-00,204.95,212,202.1,210,137706
16-Mar-00,212.5,216.6,201.25,204.9,218411
21-Mar-00,206,211.5,189,193.05,140057
22-Mar-00,197,208.45,195,208.4,141647
23-Mar-00,210,225.05,210,225.05,337020
24-Mar-00,232,236.9,220,229,145866
27-Mar-00,238.5,247.3,232.75,242,334028
28-Mar-00,242.1,261.35,222.65,261.35,685227
29-Mar-00,255,282,240.45,271.25,1467613
30-Mar-00,270,285,260,267.5,990589
31-Mar-00,262.5,276.5,246.15,260,1119548
3-Apr-00,280,280,241.1,248,600630
4-Apr-00,246,246,228.2,230,799017
5-Apr-00,228.2,228.2,211.65,211.65,194245
6-Apr-00,211,219.9,194.75,202,370453
7-Apr-00,204.45,218.15,204.45,218.15,123363
10-Apr-00,231.6,235.55,231.6,235.55,15795
11-Apr-00,235.55,250,221,247,279496
12-Apr-00,242,245,233,236.2,121403
13-Apr-00,230,230,217.35,225,276880
17-Apr-00,207.05,212,207.05,208,246355
