Date,Open,High,Low,Close,Volume
3-Jan-00,6.95,7.3,6.65,7.3,89600
4-Jan-00,6.75,7.35,6.55,6.65,61100
5-Jan-00,6.65,6.75,6,6.5,66900
6-Jan-00,6.5,7,6.2,6.5,91400
7-Jan-00,6.1,7,5.75,6.4,102600
10-Jan-00,6.4,6.9,6.4,6.7,35900
11-Jan-00,6.95,6.95,6.5,6.65,37800
12-Jan-00,6.5,6.7,6.4,6.45,31700
13-Jan-00,6.5,6.75,6.3,6.3,38300
14-Jan-00,6.25,6.45,6.15,6.25,47900
17-Jan-00,6.2,6.75,6.2,6.25,39000
18-Jan-00,6.3,6.5,6.2,6.3,29200
19-Jan-00,6.3,6.65,6.3,6.35,46200
20-Jan-00,6.5,6.55,6.2,6.35,50600
21-Jan-00,6.3,6.4,6,6.2,73600
24-Jan-00,6.35,6.65,5.9,6,146900
25-Jan-00,5.8,6.2,5.8,6.05,33000
27-Jan-00,6.15,6.15,5.75,5.8,26700
28-Jan-00,5.8,6,5.6,5.8,34000
31-Jan-00,5.2,5.75,5.1,5.4,80900
1-Feb-00,5.4,5.75,5.35,5.55,35300
2-Feb-00,5.7,5.95,5.6,5.65,25400
3-Feb-00,5.6,5.8,5.55,5.6,39600
4-Feb-00,5.55,5.8,5.4,5.5,61800
7-Feb-00,6,6.5,5.5,5.5,52900
8-Feb-00,5.5,6,5.45,5.65,29300
8-Feb-00,6,6,6,6,1500
9-Feb-00,5.55,5.95,5.5,5.7,42500
10-Feb-00,5.25,5.5,5,5.5,43800
11-Feb-00,5.3,6,5.1,5.15,59500
14-Feb-00,4.75,5.5,4.75,5.35,34200
15-Feb-00,5,5.5,4.9,5.2,38900
16-Feb-00,5,5.5,5,5.35,31400
17-Feb-00,5.75,5.75,5.25,5.4,39700
18-Feb-00,5.65,5.65,5.35,5.5,23900
21-Feb-00,5.75,5.75,5.2,5.4,49200
22-Feb-00,5.25,5.5,5.1,5.4,32100
23-Feb-00,5.1,5.45,4.35,5.2,65700
24-Feb-00,5.2,5.55,5.1,5.4,31500
25-Feb-00,5.1,5.5,4.25,5.3,63500
28-Feb-00,5.05,5.75,5.05,5.25,59000
29-Feb-00,5,5.75,4.8,5.4,107100
1-Mar-00,5.05,5.5,5,5,40700
2-Mar-00,5.35,5.35,4.75,5.25,52800
2-Mar-00,6,6,6,6,100
3-Mar-00,4.8,5.1,4.3,4.6,66800
6-Mar-00,4.6,5.3,4.3,5,65900
7-Mar-00,5,5.2,4.7,4.85,50300
8-Mar-00,4.85,5,4.55,5,84300
9-Mar-00,4.95,5.05,4.65,4.75,97000
10-Mar-00,4.8,4.85,4.25,4.75,64600
13-Mar-00,5.45,5.45,4.6,5.15,30000
14-Mar-00,5,5.15,4.65,4.95,25300
15-Mar-00,4.75,4.85,4.5,4.55,59600
