Date,Open,High,Low,Close,Volume
1/3/2000,9.5625,9.625,9.375,9.46875,11339200
1/4/2000,9.40625,9.84375,9.375,9.78125,17990600
1/5/2000,9.71875,10.09375,9.6875,9.9375,15291000
1/6/2000,9.9375,9.9375,9.28125,9.5625,17686400
1/7/2000,9.5,9.625,9.34375,9.46875,13358200
1/10/2000,9.46875,9.46875,9.21875,9.21875,8824000
1/11/2000,8.96875,9.25,8.90625,9.15625,9792600
1/12/2000,9.125,9.53125,9.125,9.28125,6635800
1/13/2000,9.3125,9.59375,9.15625,9.5,11179800
1/14/2000,9.53125,9.5625,9.125,9.21875,6856800
1/18/2000,9.3125,9.3125,8.8125,9,9452200
1/19/2000,9,9.09375,8.875,9,5676200
1/20/2000,9.03125,9.03125,8.59375,8.6875,7137800
1/21/2000,8.71875,8.71875,8.34375,8.40625,8151000
1/24/2000,8.5,8.5625,8.03125,8.15625,11600200
1/25/2000,8.09375,8.125,7.90625,8.0625,7716600
1/26/2000,8.03125,8.40625,8.03125,8.25,13237000
1/27/2000,8.4375,8.84375,8.40625,8.46875,14937000
1/28/2000,8.40625,8.5625,8.28125,8.28125,8821200
1/31/2000,8.46875,8.8125,8.40625,8.6875,8737600
2/1/2000,8.71875,8.875,8.59375,8.875,6502000
2/2/2000,8.84375,9.125,8.65625,9.09375,7734200
2/3/2000,9.125,9.25,8.8125,9,11771600
2/4/2000,8.875,8.90625,8.46875,8.8125,8523000
2/7/2000,8.46875,8.75,8.4375,8.46875,5190200
2/8/2000,8.5625,8.90625,8.5,8.90625,6891400
2/9/2000,8.8125,8.8125,8.46875,8.5,5223600
2/10/2000,8.5,8.6875,7.96875,8.09375,10187400
2/11/2000,8.21875,8.46875,8.125,8.375,8325200
2/14/2000,8.21875,8.25,7.9375,8.1875,7594200
2/15/2000,8.15625,8.625,8.0625,8.5,7580000
2/16/2000,8.40625,8.5,8.09375,8.40625,5244400
2/17/2000,8.25,8.3125,7.90625,7.96875,7695000
2/18/2000,7.9375,7.96875,7.5,7.5,8752400
2/22/2000,7.53125,7.75,7.5,7.59375,7441800
2/23/2000,7.53125,7.6875,7.4375,7.53125,9155800
2/24/2000,7.59375,7.625,7.1875,7.375,8360400
2/25/2000,7.1875,7.3125,7.03125,7.09375,13766200
2/28/2000,7.5,7.6875,7.28125,7.5625,9052800
2/29/2000,7.5625,7.65625,7.375,7.46875,9811600
3/1/2000,7.46875,7.53125,7.3125,7.40625,6097000
3/2/2000,7.46875,7.46875,7.25,7.28125,6579800
3/3/2000,7.4375,7.53125,7.34375,7.375,9071400
3/6/2000,7.46875,7.625,7.3125,7.46875,6285200
3/7/2000,7.4375,7.46875,7.25,7.375,7321200
3/8/2000,7.34375,7.75,7.125,7.6875,11982000
3/9/2000,7.65625,7.65625,7.25,7.40625,9740600
3/10/2000,7.40625,7.5625,7.28125,7.375,8901800
3/13/2000,7.34375,7.5,7.25,7.46875,8371400
3/14/2000,7.4375,7.46875,7.1875,7.21875,17360800
3/15/2000,7.21875,7.5,7.03125,7.4375,16044000
3/16/2000,7.5,7.84375,7.4375,7.78125,19580000
3/17/2000,7.90625,8.75,7.875,8.34375,24912800
3/20/2000,8.34375,8.46875,7.96875,8.03125,6327600
3/21/2000,8,8.5,7.90625,8.3125,6636200
3/22/2000,8.40625,8.71875,8.375,8.59375,6431600
3/23/2000,8.625,8.78125,8.1875,8.3125,6318600
3/24/2000,8.3125,9.125,8.3125,8.9375,10621400
3/27/2000,8.875,8.90625,8.65625,8.71875,4420000
3/28/2000,8.5,9.09375,8.5,8.625,6712800
3/29/2000,8.65625,8.875,8.65625,8.84375,6470000
3/30/2000,8.84375,9.0625,8.625,8.71875,7183800
3/31/2000,8.71875,9.03125,8.65625,8.78125,6614000
4/3/2000,8.90625,9.625,8.875,9.4375,11532600
4/4/2000,9.625,10.1875,9.53125,10.09375,21197600
4/5/2000,9.9375,10.25,9.9375,10.125,9248000
4/6/2000,10.375,10.4375,9.65625,9.78125,6015400
4/7/2000,9.84375,9.875,9.53125,9.625,5046400
4/10/2000,9.65625,9.71875,9.25,9.625,4913600
4/11/2000,9.75,10.5625,9.6875,10.3125,10696800
4/12/2000,10.1875,10.96875,10.15625,10.6875,14437200
4/13/2000,10.75,10.78125,10.125,10.15625,7705600
4/14/2000,10.0625,10.0625,9.34375,9.53125,8515600
