Date,Open,High,Low,Close,Volume
10/4/2012,296,323,290,323,6330
10/7/2012,323,259,238,238,140
10/8/2012,238,234,218,218,470
10/9/2012,218,215,215,215,10
10/11/2012,215,211,211,211,10
10/14/2012,211,215,213,215,440
10/15/2012,215,213,213,213,40
10/18/2012,213,213,213,213,20
10/30/2012,213,215,215,215,180
11/1/2012,215,235,219,235,50
11/4/2012,235,256,239,256,100
11/5/2012,256,281,261,281,1770
11/6/2012,281,301,281,281,2220
11/7/2012,281,291,285,290,1350
11/8/2012,290,298,294,294,660
11/11/2012,294,290,290,290,100
11/12/2012,290,285,275,284,250
11/18/2012,284,284,284,284,50
11/20/2012,284,288,275,275,720
11/21/2012,275,272,272,272,60
11/22/2012,272,275,267,274,950
11/25/2012,274,269,264,264,30
11/26/2012,264,268,268,268,2700
11/27/2012,268,263,258,263,120
11/28/2012,263,263,250,250,3230
11/29/2012,250,255,250,255,120
12/2/2012,255,250,250,250,110
12/4/2012,250,260,255,260,140
12/5/2012,260,265,260,260,610
12/6/2012,260,266,260,266,680
12/9/2012,266,266,265,266,510
12/10/2012,266,261,261,261,500
12/11/2012,261,271,266,266,1100
12/13/2012,266,262,260,261,340
12/16/2012,261,271,266,271,760
12/17/2012,271,274,266,274,760
12/18/2012,274,269,254,259,560
12/19/2012,259,264,260,264,670
12/20/2012,264,270,268,270,1120
12/23/2012,270,270,270,270,180
12/24/2012,270,268,262,263,1620
12/26/2012,263,260,260,260,60
12/27/2012,260,265,264,264,340
1/1/2013,264,269,258,258,600
1/2/2013,258,263,253,253,1740
1/3/2013,253,263,258,259,1250
1/6/2013,259,263,263,263,50
1/7/2013,263,268,268,268,10
1/8/2013,268,272,270,270,1020
1/10/2013,270,265,265,265,20
1/13/2013,265,275,265,270,490
1/15/2013,270,270,265,267,650
1/16/2013,267,265,262,262,660
1/17/2013,262,277,265,270,4040
1/20/2013,270,265,261,261,830
1/21/2013,261,266,266,266,380
1/22/2013,266,271,271,271,40
1/23/2013,271,275,270,272,2170
1/24/2013,272,275,274,274,250
1/27/2013,274,274,269,269,3030
1/28/2013,269,270,270,270,800
1/30/2013,270,270,270,270,90
1/31/2013,270,271,266,271,770
2/3/2013,271,280,270,280,730
2/4/2013,280,290,276,279,1060
2/5/2013,279,275,269,275,240
2/6/2013,275,275,275,275,90
2/10/2013,275,275,275,275,450
2/12/2013,275,275,275,275,180
2/13/2013,275,280,280,280,54
2/14/2013,280,290,283,283,940
2/17/2013,283,300,285,300,550
2/19/2013,300,300,285,285,1200
2/20/2013,285,283,283,283,120
2/21/2013,283,281,278,280,250
2/24/2013,280,280,270,270,1620
2/25/2013,270,285,275,285,4970
2/26/2013,285,283,280,280,251
2/27/2013,280,288,277,288,1000
2/28/2013,288,290,287,290,700
3/3/2013,290,293,290,292,880
3/4/2013,292,290,287,290,700
3/5/2013,290,288,288,288,130
3/6/2013,288,293,286,293,652
3/7/2013,293,309,295,296,5860
3/11/2013,296,305,295,300,4360
3/13/2013,300,308,300,302,1870
3/14/2013,302,308,294,294,1980
3/17/2013,294,289,289,289,480
3/18/2013,289,284,275,280,1890
3/19/2013,280,280,280,280,170
3/20/2013,280,280,280,280,40
3/24/2013,280,280,275,280,160
3/25/2013,280,278,275,278,1180
3/27/2013,278,279,279,279,1000
4/1/2013,279,274,274,274,40
4/2/2013,274,274,274,274,90
4/4/2013,274,269,269,269,50
4/7/2013,269,270,270,270,300
4/8/2013,270,275,270,271,2160
4/9/2013,271,268,266,268,310
4/11/2013,268,267,267,267,120
4/15/2013,267,273,270,270,690
