Date,Open,High,Low,Close,Volume
10/4/2012,491,510,500,510,2089
10/7/2012,510,508,481,508,2102
10/8/2012,508,516,498,516,5070
10/9/2012,516,509,504,508,3389
10/10/2012,508,516,516,516,18
10/11/2012,516,517,517,517,18
10/18/2012,517,522,522,522,20
11/5/2012,522,512,512,512,1259
11/6/2012,512,522,522,522,18
11/11/2012,522,512,512,512,50
11/12/2012,512,512,512,512,1186
11/18/2012,512,515,515,515,22
11/25/2012,515,505,505,505,200
11/29/2012,505,500,500,500,99
12/4/2012,500,500,500,500,30
12/6/2012,500,500,480,480,1377
12/13/2012,480,475,475,475,26
12/16/2012,475,480,480,480,153
12/17/2012,480,485,474,485,5086
12/18/2012,485,480,480,480,66
12/19/2012,480,480,480,480,287
12/20/2012,480,489,480,480,351
12/23/2012,480,475,473,473,166
12/24/2012,473,486,482,486,1453
12/26/2012,486,494,486,494,149
12/27/2012,494,490,485,485,443
12/31/2012,485,494,485,494,532
1/1/2013,494,495,495,495,341
1/2/2013,495,504,487,487,1308
1/3/2013,487,525,494,525,1605
1/6/2013,525,515,505,505,98
1/7/2013,505,499,489,499,1212
1/8/2013,499,505,500,500,306
1/10/2013,500,510,505,510,582
1/13/2013,510,530,520,530,851
1/15/2013,530,535,535,535,3421
1/16/2013,535,535,535,535,1304
1/17/2013,535,525,518,518,1452
1/21/2013,518,528,528,528,64
1/22/2013,528,538,522,538,1776
1/23/2013,538,565,540,565,3791
1/24/2013,565,554,554,554,500
1/27/2013,554,560,560,560,620
1/28/2013,560,549,539,539,235
1/31/2013,539,549,549,549,15
2/5/2013,549,545,535,545,471
2/7/2013,545,545,540,545,619
2/10/2013,545,555,550,555,1566
2/12/2013,555,585,555,585,1634
2/14/2013,585,585,580,585,106
2/17/2013,585,607,596,607,277
2/19/2013,607,620,608,608,1457
2/20/2013,608,620,610,610,420
2/21/2013,610,640,615,627,5103
2/24/2013,627,639,616,638,2414
2/25/2013,638,652,640,652,2652
2/26/2013,652,678,647,660,2610
2/27/2013,660,657,657,657,296
2/28/2013,657,710,661,710,2492
3/3/2013,710,696,691,691,492
3/4/2013,691,682,666,666,4644
3/5/2013,666,662,647,655,4841
3/6/2013,655,655,655,655,412
3/7/2013,655,665,657,665,2757
3/11/2013,665,675,670,670,685
3/13/2013,670,683,655,665,1243
3/18/2013,665,522,522,522,27
3/19/2013,522,532,532,532,18
3/20/2013,532,563,542,563,56
3/21/2013,563,573,573,573,76
3/24/2013,573,565,565,565,150
4/2/2013,565,576,576,576,18
4/7/2013,576,565,565,565,103
4/8/2013,565,560,525,525,5167
4/9/2013,525,535,528,528,638
4/11/2013,528,558,538,558,777
4/15/2013,558,558,558,558,10000
4/16/2013,558,547,535,535,1192
4/17/2013,535,534,525,534,32700
4/18/2013,534,530,530,530,650
4/21/2013,530,540,535,540,200
4/22/2013,540,535,525,525,203
4/23/2013,525,525,525,525,3500
