Date,Open,High,Low,Close,Volume
10/10/2012,193,190,190,190,199
10/11/2012,190,187,181,181,743
10/15/2012,181,178,178,178,207
10/18/2012,178,176,176,176,31
11/6/2012,176,178,175,175,189
11/11/2012,175,175,175,175,107
11/26/2012,175,178,178,178,963
11/28/2012,178,176,176,176,31
12/13/2012,207,207,207,207,535
12/16/2012,207,200,200,200,500
12/18/2012,200,200,200,200,168
12/19/2012,200,201,201,201,1851
12/20/2012,201,200,200,200,76
1/6/2013,200,208,204,208,259
1/10/2013,208,204,204,204,502
1/13/2013,204,212,208,212,20
1/15/2013,212,220,216,220,1158
1/16/2013,220,224,224,224,510
1/17/2013,224,228,228,228,50
1/21/2013,228,235,232,235,411
1/22/2013,235,235,225,225,443
1/23/2013,225,225,225,225,153
1/24/2013,225,225,225,225,2130
1/27/2013,225,226,226,226,111
1/28/2013,226,230,230,230,30
2/4/2013,230,226,226,226,47
2/5/2013,226,222,216,216,715
2/6/2013,216,219,207,214,404
2/7/2013,214,220,216,220,181
2/10/2013,220,232,224,230,2465
2/12/2013,230,233,232,233,136
2/13/2013,233,236,232,232,272
2/14/2013,232,230,230,230,159
2/17/2013,230,234,234,234,124
2/19/2013,234,245,238,245,484
2/20/2013,245,241,237,237,224
2/21/2013,237,233,233,233,17
2/24/2013,233,229,225,225,32
2/25/2013,225,225,225,225,102
3/7/2013,225,226,226,226,227
3/11/2013,226,225,225,225,238
3/13/2013,225,225,224,225,552
3/14/2013,225,229,229,229,10
3/18/2013,229,226,226,226,77
3/19/2013,226,222,222,222,61
3/21/2013,222,226,226,226,49
3/31/2013,226,217,217,217,242
4/3/2013,217,220,220,220,402
4/11/2013,220,221,221,221,70
4/17/2013,221,229,221,221,388
4/18/2013,221,220,218,218,361
4/21/2013,218,222,222,222,11
4/22/2013,222,218,218,218,319
4/28/2013,218,215,214,214,115
5/7/2013,214,218,218,218,111
5/8/2013,218,222,222,222,276
5/9/2013,222,244,226,244,130
5/12/2013,244,268,248,268,678
5/13/2013,268,277,265,266,3021
5/16/2013,266,271,266,270,441
5/19/2013,270,270,270,270,386
5/20/2013,270,271,269,271,455
5/22/2013,271,271,271,271,74
5/23/2013,271,281,273,281,656
5/27/2013,281,286,286,286,99
6/10/2013,286,285,285,285,500
6/18/2013,285,280,280,280,2239
6/30/2013,280,275,275,275,35
7/1/2013,275,270,270,270,118
7/2/2013,270,270,265,265,880
7/3/2013,265,270,265,270,767
7/7/2013,270,276,271,276,485
7/8/2013,276,271,271,271,77
7/11/2013,271,275,275,275,134
7/15/2013,275,280,280,280,280
7/24/2013,280,285,280,285,187
7/31/2013,285,286,286,286,85
8/4/2013,286,295,291,295,816
8/5/2013,295,300,300,300,173
8/6/2013,300,306,300,306,981
8/8/2013,306,336,312,336,780
8/11/2013,336,369,342,369,933
8/13/2013,369,400,362,400,4333
8/14/2013,400,438,407,438,1578
8/15/2013,438,446,438,438,590
8/18/2013,438,430,430,430,36
8/19/2013,430,422,422,422,35
8/25/2013,422,414,409,409,44
8/26/2013,409,409,409,409,77
8/27/2013,409,417,417,417,241
8/29/2013,417,417,409,417,507
9/1/2013,417,425,425,425,201
9/2/2013,425,418,410,410,412
9/3/2013,410,429,415,429,480
9/4/2013,429,422,418,418,1348
9/5/2013,418,434,424,430,1279
9/8/2013,430,446,437,446,241
9/9/2013,446,490,454,475,2537
9/10/2013,475,489,480,480,1468
9/11/2013,480,476,467,467,2056
9/12/2013,467,482,474,482,1314
9/15/2013,482,473,473,473,83
9/17/2013,473,480,470,480,650
9/19/2013,480,471,470,470,2057
9/23/2013,470,461,452,452,110
9/24/2013,452,443,443,443,423
9/25/2013,443,445,440,445,249
9/29/2013,445,440,440,440,199
9/30/2013,440,435,435,435,227
10/1/2013,435,436,436,436,572
10/2/2013,436,444,442,444,451
10/3/2013,444,452,452,452,73
10/6/2013,452,470,455,470,602
10/7/2013,470,475,466,475,1149
10/9/2013,475,484,475,484,1315
10/10/2013,484,475,475,475,572
10/20/2013,475,484,480,483,1050
10/21/2013,483,483,483,483,85
10/22/2013,483,485,477,477,1497
10/23/2013,477,485,485,485,572
10/24/2013,485,477,477,477,71
10/28/2013,477,483,465,465,2536
10/29/2013,465,456,456,456,500
10/31/2013,456,465,465,465,22
11/6/2013,465,482,473,481,937
11/12/2013,481,499,485,499,312
11/13/2013,499,548,508,548,11456
11/14/2013,548,579,557,558,3521
11/21/2013,558,580,569,580,342
11/24/2013,580,602,591,600,2865
11/25/2013,600,636,612,636,752
11/26/2013,636,659,648,650,425
11/28/2013,650,637,625,625,1009
12/1/2013,625,654,615,654,1508
12/2/2013,654,673,660,673,157
12/3/2013,673,699,686,699,696
12/5/2013,699,752,710,752,909
12/8/2013,752,770,767,770,251
12/9/2013,770,755,717,717,2206
12/10/2013,717,731,715,717,532
12/11/2013,717,713,713,713,500
12/12/2013,713,729,713,715,968
12/15/2013,715,786,729,786,1237
12/16/2013,786,850,801,850,4575
12/18/2013,850,884,867,880,1764
12/19/2013,880,870,860,865,2388
12/22/2013,865,880,865,875,1674
1/12/2014,875,716,716,716,329
1/13/2014,716,725,725,725,74
1/14/2014,725,739,739,739,504
1/20/2014,739,739,739,739,37
1/22/2014,739,754,753,754,86
1/23/2014,754,769,769,769,30
1/26/2014,769,784,784,784,135
1/27/2014,784,799,799,799,104
1/28/2014,799,814,814,814,12
1/29/2014,814,814,814,814,1211
2/2/2014,814,846,814,846,83
2/3/2014,846,930,862,930,1000
2/4/2014,930,1023,948,1023,866
2/5/2014,1023,1043,1035,1042,1682
2/6/2014,1042,1046,1030,1045,766
2/9/2014,1045,1049,1044,1048,484
2/10/2014,1048,1054,1040,1054,1408
2/11/2014,1054,1042,1033,1040,1956
2/12/2014,1040,1055,1036,1036,1548
2/13/2014,1036,1045,1040,1040,569
2/16/2014,1040,1060,1015,1015,813
2/17/2014,1015,1010,1000,1000,400
2/18/2014,1000,1040,1000,1000,977
2/20/2014,1000,1020,1006,1020,126
2/24/2014,1020,1025,1020,1025,957
2/25/2014,1025,1045,1025,1025,71
3/5/2014,1025,1005,985,995,575
3/11/2014,995,976,976,976,32
3/12/2014,976,957,920,938,418
3/13/2014,938,920,870,870,709
3/17/2014,870,875,850,850,963
3/18/2014,850,833,820,820,488
3/19/2014,820,828,812,828,645
3/20/2014,828,841,809,841,441
3/23/2014,841,857,840,857,366
3/24/2014,857,891,874,891,137
3/25/2014,891,908,900,900,353
3/26/2014,900,910,890,910,594
3/27/2014,910,910,895,895,246
3/31/2014,895,895,880,895,206
4/1/2014,895,931,896,931,1034
4/2/2014,931,940,920,920,1172
4/3/2014,920,948,925,948,1004
4/6/2014,948,969,932,966,593
4/7/2014,966,1000,970,990,1702
4/9/2014,990,1015,990,1005,1199
4/10/2014,1005,1044,1010,1022,602
4/13/2014,1022,1055,1020,1020,953
4/16/2014,1020,1010,991,1010,335
4/17/2014,1010,1025,1010,1010,727
4/20/2014,1010,1009,990,1009,314
4/21/2014,1009,1040,1010,1040,7271
4/22/2014,1040,1060,1030,1060,3687
4/23/2014,1060,1089,1070,1070,1206
4/27/2014,1070,1100,1060,1080,2468
4/28/2014,1080,1091,1070,1085,419
4/29/2014,1085,1122,1090,1105,1324
4/30/2014,1105,1155,1105,1155,3645
5/4/2014,1155,1270,1178,1270,1666
