Date,Open,High,Low,Close,Volume
3-Jan-00,685,710,670,670,10600
4-Jan-00,677,690,675,687.5,600
5-Jan-00,670,670,640,640,900
6-Jan-00,621,670,621,653.5,1000
7-Jan-00,665,665,620,655.4,4700
10-Jan-00,645,699,645,688,2300
11-Jan-00,680,690,680,680,1100
12-Jan-00,680,700,680,696.5,2100
13-Jan-00,685,720,685,705.4,2740
14-Jan-00,703.1,703.1,685,696,3300
17-Jan-00,740,751.65,740,751.65,7000
18-Jan-00,780,811.75,770,784.55,10900
19-Jan-00,788,847.3,780,847.3,17700
20-Jan-00,897,915.05,820,834.85,17800
21-Jan-00,850,850,780,804.75,7000
24-Jan-00,845,868,803,805.35,8800
25-Jan-00,849,850,789,822,9200
27-Jan-00,850,868,787,798,3000
28-Jan-00,814.45,820,779,788.4,7700
31-Jan-00,820,824,775,789.75,20100
1-Feb-00,775,820,775,805.4,16000
2-Feb-00,800,834,800,832,4100
3-Feb-00,828,885,825,871.6,5200
4-Feb-00,890,890,830,838.75,2900
7-Feb-00,840,855,811,820,1000
8-Feb-00,814,826,800,800.5,3610
9-Feb-00,775,799,775,790,2010
10-Feb-00,785,791,784,790.1,1800
11-Feb-00,790,792,783,785.75,4400
14-Feb-00,780.05,802,780.05,802,520
14-Feb-00,785,785,785,785,5400
15-Feb-00,802,802,780.1,790,7100
16-Feb-00,790,790,787,787,1200
17-Feb-00,800,800,787,788,2800
18-Feb-00,785,800,770,785.9,1620
21-Feb-00,800,800,789,791,16800
22-Feb-00,800,835,793.25,822.25,6400
23-Feb-00,811,820,790,792.35,37800
24-Feb-00,784,800,784,784,4500
25-Feb-00,790,795.9,783.5,789.8,27700
28-Feb-00,779,785,775,780,700
29-Feb-00,772,772,771.1,771.1,300
1-Mar-00,778,780,778,780,200
2-Mar-00,770,775,740,740,159000
3-Mar-00,682,699,681,681,1900
6-Mar-00,689.9,689.9,648.5,651,3800
7-Mar-00,640,640,610,635,5700
8-Mar-00,613.95,683,613.95,645.9,3400
9-Mar-00,650,675,630,660.9,3600
10-Mar-00,635,675,630,645.95,21900
13-Mar-00,697,697,632,635,700
14-Mar-00,615,650,615,650,700
