Date,Open,High,Low,Close,Volume
10/4/2012,187,185,185,185,1857
10/7/2012,185,188,178,188,4008
10/8/2012,188,187,185,187,1709
10/9/2012,187,190,186,186,1494
10/10/2012,186,187,185,187,134
10/11/2012,187,184,184,184,200
10/14/2012,184,190,186,190,1730
10/15/2012,190,188,187,188,624
10/17/2012,188,194,191,194,1062
10/18/2012,194,200,196,198,3325
10/30/2012,198,207,201,207,1190
10/31/2012,207,215,207,213,6838
11/1/2012,213,213,208,210,5440
11/4/2012,210,213,210,211,1635
11/5/2012,211,223,215,219,6658
11/6/2012,219,220,217,218,3730
11/7/2012,218,227,215,225,7613
11/8/2012,225,235,224,225,2682
11/11/2012,225,231,212,214,10599
11/12/2012,214,226,216,226,7659
11/18/2012,226,235,228,232,7903
11/20/2012,232,250,231,231,19046
11/21/2012,231,238,228,232,18315
11/22/2012,232,238,220,231,49743
11/25/2012,231,240,231,234,12920
11/26/2012,234,238,232,235,56412
11/27/2012,235,236,233,233,4880
11/28/2012,233,237,232,235,4596
11/29/2012,235,236,228,228,3134
12/2/2012,228,232,224,229,2780
12/3/2012,229,231,227,231,1450
12/4/2012,231,237,233,237,6184
12/5/2012,237,260,235,254,11124
12/6/2012,254,258,245,254,11226
12/9/2012,254,252,242,247,3156
12/10/2012,247,250,245,247,4591
12/11/2012,247,248,247,247,1940
12/13/2012,247,252,250,252,7161
12/16/2012,252,272,257,272,12179
12/17/2012,272,287,272,274,24436
12/18/2012,274,271,261,266,16619
12/19/2012,266,276,265,275,14195
12/20/2012,275,277,269,272,27581
12/23/2012,272,282,272,282,4821
12/24/2012,282,295,282,292,10875
12/26/2012,292,302,290,290,16061
12/27/2012,290,298,288,294,10249
12/31/2012,294,290,280,280,2686
1/1/2013,280,281,272,273,6489
1/2/2013,273,280,270,279,4957
1/3/2013,279,284,279,280,7823
1/6/2013,280,286,276,280,2380
1/7/2013,280,280,271,274,2070
1/8/2013,274,269,261,269,7533
1/9/2013,269,270,265,268,1100
1/10/2013,268,276,264,273,6303
1/13/2013,273,277,269,276,179606
1/15/2013,276,273,266,273,9653
1/16/2013,273,273,265,266,9197
1/17/2013,266,267,258,258,2432
1/20/2013,258,258,245,255,8392
1/21/2013,255,267,260,262,6408
1/22/2013,262,265,261,264,8276
1/23/2013,264,267,256,257,3702
1/24/2013,257,260,251,257,10324
1/27/2013,257,270,257,260,7663
1/28/2013,260,264,259,260,11511
1/30/2013,260,265,256,260,11828
1/31/2013,260,265,256,256,7848
2/3/2013,256,279,255,262,11395
2/4/2013,262,267,261,266,7767
2/5/2013,266,267,261,265,5533
2/6/2013,265,264,261,263,5140
2/7/2013,263,267,259,261,6767
2/10/2013,261,269,259,266,9776
2/12/2013,266,284,271,284,18322
2/13/2013,284,281,269,279,9439
2/14/2013,279,284,277,280,17827
2/17/2013,280,300,285,300,1050
2/19/2013,300,312,282,282,30838
2/20/2013,282,285,277,282,9220
2/21/2013,282,292,277,287,12763
2/24/2013,287,289,277,281,6974
2/25/2013,281,296,280,288,7808
2/26/2013,288,293,280,287,20788
2/27/2013,287,288,281,283,5018
