Date,Open,High,Low,Close,Volume
3-Jan-00,113,116.15,112.5,116.15,30163
4-Jan-00,117,120,112,115.8,23617
5-Jan-00,112,116,107,113.7,20595
6-Jan-00,115,122.75,112.7,118,56700
7-Jan-00,115.5,119,114.1,115,38843
10-Jan-00,122,122.5,118,120.7,43345
11-Jan-00,122,122,114.5,114.5,28489
12-Jan-00,116.8,116.8,114,115.3,9861
13-Jan-00,116,116.8,113,113.8,28110
14-Jan-00,113.9,114.5,110,114.5,173878
17-Jan-00,118.9,120,116.15,116.25,14276
18-Jan-00,117,117,114.5,116.7,8001
19-Jan-00,116,118.2,116,117.5,12754
20-Jan-00,117.95,118,115,116,13055
21-Jan-00,115,115.5,111,114,20926
24-Jan-00,114,114.9,110,111.55,8518
25-Jan-00,111.1,112,108.1,109.8,7482
27-Jan-00,110,110.7,107.5,109,9554
28-Jan-00,108.1,108.1,103.25,103.5,28192
31-Jan-00,97,103,95.25,95.25,22667
1-Feb-00,89,97.8,89,95.2,26890
2-Feb-00,93,99.8,93,98.75,22007
3-Feb-00,97.05,101.75,97.05,99.8,20620
4-Feb-00,98,99,95,95.3,27570
7-Feb-00,97,99,94,94.6,13265
8-Feb-00,94,94.8,91.15,92.9,12694
9-Feb-00,91.2,93,89.55,89.55,14727
10-Feb-00,90.9,91,86.6,89,11247
11-Feb-00,89,89.95,84.25,84.55,136138
14-Feb-00,90,91,82,82,10929
15-Feb-00,82.05,86,82.05,86,26922
16-Feb-00,84.5,87.5,84.5,86,16666
17-Feb-00,85,86,80.5,84.1,20854
18-Feb-00,84,84,77.6,78.1,31001
21-Feb-00,79.9,81.5,75.5,76.7,12575
22-Feb-00,77,77.95,74,74,24655
23-Feb-00,75,77,71.8,75.4,17252
24-Feb-00,75,76,72,73,19886
25-Feb-00,73,73,67.2,70,25277
28-Feb-00,75.4,75.5,70,72,20174
29-Feb-00,73.85,76,70,70,29147
1-Mar-00,72.45,72.45,70,71.5,11005
2-Mar-00,70,70.9,65.8,67,12827
3-Mar-00,67.9,67.9,62,64,86013
6-Mar-00,68,69,65.3,66.7,14925
7-Mar-00,67.8,68,61.4,61.4,16734
8-Mar-00,60,62,58.5,59.2,16450
9-Mar-00,60,61,58.5,59.8,10721
10-Mar-00,60,60,56.55,60,29585
13-Mar-00,61.9,62.7,56,57.9,15450
14-Mar-00,58.95,62.5,57,62.5,14045
15-Mar-00,62,67.45,62,67.45,22353
16-Mar-00,69.9,69.9,62.55,66.05,37866
21-Mar-00,66.5,67.9,62.7,63,22880
22-Mar-00,63,65,63,63.4,105911
23-Mar-00,64.8,64.8,58.5,58.5,22407
24-Mar-00,60,60,54,56.2,56731
27-Mar-00,60,60.65,60,60.65,7950
28-Mar-00,61.1,63,60.6,61.5,14466
29-Mar-00,62.8,62.85,60,60.5,7119
30-Mar-00,61.1,63.5,61,63.45,13624
31-Mar-00,61.6,65.5,61.6,65.5,56529
3-Apr-00,67.7,69,65,67.5,22547
4-Apr-00,66.5,66.5,62.15,62.15,15083
5-Apr-00,61,64.5,61,64,6365
6-Apr-00,63.3,64.8,60,61,7199
7-Apr-00,61.8,63,59.6,60.8,54922
10-Apr-00,63.25,65.65,63,65.65,37863
11-Apr-00,64,66.85,63.5,64.45,31360
12-Apr-00,63.75,66,63.5,64.3,59795
13-Apr-00,64,64,61.3,63.5,33787
17-Apr-00,60,62.7,60,62.4,21252
18-Apr-00,62.8,63,61.75,62,8441
19-Apr-00,64.4,64.4,59.4,59.65,11185
20-Apr-00,59.1,60,56.35,57,24952
24-Apr-00,56.6,59,56.6,57.75,7281
25-Apr-00,57,57.9,55.1,56,7440
26-Apr-00,57,58.85,57,58.75,5642
27-Apr-00,58.05,58.05,56,56,8048
28-Apr-00,55.3,56.4,54.05,55,13942
2-May-00,55.9,55.9,51.4,51.4,13572
3-May-00,52.95,53.5,51,53,5721
4-May-00,53.75,54.9,53,53.15,5946
5-May-00,53.75,53.9,52.85,53.8,20116
8-May-00,53.5,54.75,53.1,53.75,5014
9-May-00,53.5,54.65,53,53,4217
10-May-00,52.05,54,52.05,52.65,3807
11-May-00,53.25,53.25,51.55,52.1,4522
12-May-00,53,53,50,50.15,17984
15-May-00,50,52,50,51.3,3499
16-May-00,51,52,50.15,50.8,5003
17-May-00,51.9,51.9,50.7,51.05,7066
18-May-00,51,51.4,48.2,48.2,9400
19-May-00,48.05,48.5,45,46,16577
22-May-00,45.25,46.65,45,46.45,11241
23-May-00,46.9,48,45.7,47.15,4635
24-May-00,47,48.3,46,48.05,8546
25-May-00,48,50.5,48,49.5,8827
26-May-00,50,51,49.6,49.65,11013
29-May-00,53.25,53.6,52,53.6,9257
30-May-00,55,56,53,55.15,15472
31-May-00,55.15,56.85,53.1,54.2,12588
1-Jun-00,53.5,54,53,53.7,5385
2-Jun-00,52.55,55.85,52,54,29487
5-Jun-00,56,58.3,55,57.8,20438
6-Jun-00,59.25,60,56.55,59,14793
7-Jun-00,58.1,59,57.1,57.95,7083
8-Jun-00,57,57.65,55,57.3,17371
9-Jun-00,56.1,57.5,55.8,56.35,27166
12-Jun-00,59,60.1,57,58.75,26528
13-Jun-00,58,61,57,60.55,15418
14-Jun-00,61.7,62,59.3,61.1,17829
15-Jun-00,61.5,61.5,59,60.05,13058
16-Jun-00,60,60.75,59.2,59.45,11137
19-Jun-00,60,62,60,61,8125
20-Jun-00,60.7,61.3,58,58.85,12286
21-Jun-00,58.25,60.95,58,59.2,18480
22-Jun-00,59.9,62,58.1,61.8,15948
23-Jun-00,61,61,58,58.25,21948
26-Jun-00,57.1,58.85,57.1,58.85,2426
27-Jun-00,60,60,56,56.1,17618
28-Jun-00,55.15,56.75,55.15,55.9,3552
29-Jun-00,56.25,57,55.1,55.1,6648
30-Jun-00,55.2,55.75,54.3,54.35,9540
3-Jul-00,54,55.4,54,55.25,5520
4-Jul-00,54,55.4,54,55.2,4111
5-Jul-00,55.2,55.7,54.7,55.1,4886
6-Jul-00,55.65,55.65,54.5,55,4934
7-Jul-00,55.65,55.65,54.75,55,9234
10-Jul-00,57.45,58,55.15,57.7,8756
11-Jul-00,57.05,60.5,56.75,60.2,15667
12-Jul-00,60.5,64.8,59.2,63.5,56951
13-Jul-00,63.1,65,61.1,61.3,17699
14-Jul-00,61.5,62.45,60.45,62.1,17627
17-Jul-00,61.9,64.25,61.9,63.9,20421
18-Jul-00,63.5,64,61.25,61.85,30904
19-Jul-00,62.3,63,59.8,60.15,9330
20-Jul-00,59.15,60.25,58.05,58.4,7251
21-Jul-00,58.5,58.6,54.75,55.05,18928
24-Jul-00,55.5,55.5,51.05,51.7,13477
25-Jul-00,51.05,54.75,51,52.75,16514
26-Jul-00,54,55.1,52.8,52.95,10325
27-Jul-00,52.8,53.45,51.7,52.1,7605
28-Jul-00,51.15,53.2,50.55,52.45,11659
31-Jul-00,49.6,52,49.6,50.15,8621
1-Aug-00,50.4,51,48.4,48.55,6059
2-Aug-00,49.2,49.3,47.5,48,6425
3-Aug-00,47.5,47.5,45.05,45.55,7443
4-Aug-00,45.3,45.8,42,42.05,17188
7-Aug-00,43.5,44,42.1,42.85,16206
8-Aug-00,42.6,44.4,42.5,43.6,15051
9-Aug-00,43.9,45,43.9,44.3,9384
10-Aug-00,45,45,42.6,42.7,12242
11-Aug-00,42.75,43,41.8,42.6,18263
14-Aug-00,43,44.5,43,44.2,8515
16-Aug-00,44,46,44,45.5,6365
17-Aug-00,45.5,46,44.5,44.6,5325
18-Aug-00,44.55,44.75,43.1,44.2,6365
21-Aug-00,45,46.35,44,46,3977
22-Aug-00,46.4,46.6,45.25,46.5,8380
23-Aug-00,46,47,46,46.7,8167
24-Aug-00,46.05,46.05,43,45.15,18600
25-Aug-00,44.5,45.4,43.1,44.55,15195
28-Aug-00,45.25,46,43.3,45.55,12960
29-Aug-00,45.9,45.9,45,45.3,5853
30-Aug-00,45.05,45.95,44.1,45.25,3986
31-Aug-00,45,45.5,44.1,44.95,4998
4-Sep-00,46.1,47,45.4,46,11816
5-Sep-00,46,47.5,46,47.35,7882
6-Sep-00,47.5,51.1,47.25,51.05,29020
7-Sep-00,52.4,55.1,51.5,55.1,40815
8-Sep-00,55.1,59.3,54.5,55.4,47069
11-Sep-00,59,59,55,55.5,26025
12-Sep-00,55,55.35,52.55,53.9,16998
13-Sep-00,53,53.25,51,51.1,11418
14-Sep-00,51,52.5,49.6,50.85,8827
15-Sep-00,50.8,50.8,46.8,46.95,26108
18-Sep-00,49,49,45,46.2,13764
19-Sep-00,46.05,46.9,44.45,45.7,8022
20-Sep-00,46,46.4,45.6,46,8087
21-Sep-00,45.5,46.75,45.25,46,4819
22-Sep-00,45.5,47,43.45,43.6,22609
25-Sep-00,43.65,45.5,43.65,45.35,6114
